"C","N","Z","A","SYM","ORIG","Excess","unc1","BEA","unc2","btype","benergy","bunc","mass","munc","halflife","spin-parity","Qbeta","Qposi","Qec","Qalpha"
"0",1,0,1,"nn","    ",8071.3171,0.0005,0.0,0.0,"B-",782.347,0.001,1.0086649157,0.0006,"613.9 s","1/2+",0.7823465999999999,0.0,0.0,0.0
" ",0,1,1,"H  ","    ",7288.9705,0.00011,0.0,0.0,"  ","*","*",1.00782503207,0.0001,"stable","1/2+",0.0,-1.8043466,-0.7823465999999999,0.0
"0",1,1,2,"H  ","    ",13135.7216,0.0003,1112.283,0.0,"  ","*","*",2.0141017778,0.0004,"stable","1+",0.0,0.0,0.0,0.0
"0",2,1,3,"H  ","    ",14949.806,0.0023,2827.266,0.001,"B-",18.591,0.001,3.0160492777,0.0025,"12.32 y","1/2+",0.018591200000000755,0.0,0.0,0.0
" ",1,2,3,"He ","    ",14931.2148,0.0024,2572.681,0.001,"  ","*","*",3.0160293191,0.0026,"stable","1/2+",-13.7387852,-1.0405912000000008,-0.018591200000000755,0.0
" ",0,3,3,"Li "," -pp",28670.0,2000.0,-2270.0,670.0,"B+",13740.0,2000.0,3.03078,2150.0,"None","None",0.0,12.7167852,13.7387852,0.0
"0",3,1,4,"H  ","  -n",25900.0,100.0,1400.0,26.0,"B-",23480.0,100.0,4.02781,110.0,"None","None",23.47508435,0.0,0.0,0.0
" ",2,2,4,"He ","    ",2424.91565,6e-05,7073.915,0.0,"  ","*","*",4.00260325415,6e-05,"stable","0+",-22.89508435,-24.49708435,-23.47508435,0.0
" ",1,3,4,"Li ","  -p",25320.0,210.0,1150.0,50.0,"B+",22900.0,210.0,4.02719,230.0,"None","None",0.0,21.873084350000003,22.89508435,0.0
"0",4,1,5,"H  "," -nn",32890.0,100.0,1336.0,20.0,"B-",21510.0,110.0,5.03531,110.0,"None","None",21.5,0.0,0.0,0.0
" ",3,2,5,"He ","  -n",11390.0,50.0,5481.0,10.0,"  ","*","*",5.01222,50.0,"0.648 mev","3/2-",-0.29,-22.522,-21.5,0.8937668999999996
" ",2,3,5,"Li ","  -p",11680.0,50.0,5266.0,10.0,"B+",290.0,70.0,5.01254,50.0,"1.23 mev","3/2-",-26.32,-0.732,0.29,1.9661134999999994
" ",1,4,5,"Be ","   x",38000.0,4000.0,-150.0,800.0,"B+",26320.0,4000.0,5.04079,4290.0,"None","None",0.0,25.298,26.32,0.0
"0",5,1,6,"H  "," -3n",41860.0,260.0,960.0,40.0,"B-",24270.0,260.0,6.04494,280.0,"1.6 mev","(2-)",24.2649,0.0,0.0,0.0
" ",4,2,6,"He ","    ",17595.1,0.8,4878.02,0.13,"B-",3508.3,0.8,6.0188891,0.8,"806.7 ms","0+",3.508306999999999,-25.286900000000003,-24.2649,0.0
" ",3,3,6,"Li ","    ",14086.793,0.015,5332.345,0.003,"  ","*","*",6.015122795,0.016,"stable","1+",-4.288207000000001,-4.530306999999999,-3.508306999999999,-1.4738446000000012
" ",2,4,6,"Be ","   -",18375.0,5.0,4487.3,0.9,"B+",4288.0,5.0,6.019726,6.0,"92 kev","0+",-25.225,3.2662070000000005,4.288207000000001,0.0
" ",1,5,6,"B  ","   x",43600.0,700.0,150.0,120.0,"B+",25230.0,700.0,6.04681,750.0,"None","None",0.0,24.203,25.225,0.0
"0",6,1,7,"H  "," -nn",49140.0,1010.0,940.0,140.0,"B-",23030.0,1010.0,7.05275,1080.0,"None","None",23.039,0.0,0.0,0.0
" ",5,2,7,"He ","  -n",26101.0,17.0,4119.1,2.4,"B-",11193.0,17.0,7.028021,18.0,"150 kev","(3/2)-",11.192860000000001,-24.061,-23.039,0.0
" ",4,3,7,"Li ","    ",14908.14,0.08,5606.291,0.011,"  ","*","*",7.01600455,0.08,"stable","3/2-",-0.8618900000000013,-12.21486,-11.192860000000001,-2.466582000000001
" ",3,4,7,"Be ","    ",15770.03,0.11,5371.4,0.015,"B+",861.89,0.07,7.0169298300000005,0.11,"53.22 d","3/2-",-12.099969999999999,-0.16010999999999875,0.8618900000000013,-1.5861007999999992
" ",2,5,7,"B  "," +3n",27870.0,70.0,3531.0,10.0,"B+",12100.0,70.0,7.02992,80.0,"1.4 mev","(3/2-)",0.0,11.077969999999999,12.099969999999999,-3.2249160000000003
"0",6,2,8,"He ","    ",31598.0,7.0,3926.0,0.9,"B-",10651.0,7.0,8.033922,7.0,"119.1 ms","0+",10.651159999999999,0.0,0.0,0.0
" ",5,3,8,"Li ","    ",20946.84,0.09,5159.582,0.012,"B-",16005.17,0.1,8.02248736,0.1,"839.9 ms","2+",16.00517,-11.67316,-10.651159999999999,-7.378076
" ",4,4,8,"Be ","    ",4941.67,0.04,7062.435,0.004,"  ","*","*",8.0053051,0.04,"5.57 ev","0+",-17.979830000000003,-17.027169999999998,-16.00517,0.09183834999999999
" ",3,5,8,"B  ","    ",22921.5,1.0,4717.16,0.13,"B+",17979.8,1.0,8.0246072,1.1,"770 ms","2+",-12.1725,16.95783,17.979830000000003,-4.823416
" ",2,6,8,"C  ","  4n",35094.0,23.0,3097.8,2.9,"B+",12173.0,23.0,8.037675,25.0,"230 kev","0+",0.0,11.1505,12.1725,0.0
"0",7,2,9,"He ","    ",40939.0,29.0,3349.0,3.0,"B-",15985.0,29.0,9.04395,30.0,"None","None",15.9847,0.0,0.0,0.0
